Proceso,Agno,COMA
Geotermica_VIII,2032,162.5487510918245
Solar_CSP_SING,2032,30.0
Solar_CSP_II-III,2032,30.0
Eolica_SING,2032,28.44056686088669
Eolica_II-III,2032,28.44056686088669
Eolica_IV,2032,28.44056686088669
Eolica_V,2032,28.44056686088669
Eolica_VI,2032,28.44056686088669
Eolica_VIII,2032,28.44056686088669
Eolica_X-XIV,2032,28.44056686088669
Hidro_Pasada_XIII,2032,57.168588655847046
Hidro_Pasada_VI,2032,57.168588655847046
Hidro_Pasada_VII,2032,57.168588655847046
Hidro_Pasada_VIII,2032,57.168588655847046
Hidro_Pasada_X-XIV,2032,57.168588655847046
Solar_FV_SING,2032,16.288725099101487
Solar_FV_II-III,2032,16.288725099101487
Solar_FV_IV,2032,16.288725099101487
Solar_FV_V,2032,16.288725099101487
Solar_FV_XIII,2032,16.288725099101487
Solar_FV_VI,2032,16.288725099101487
Carbon_SING,2033,66.40724264557154
Carbon_II-III,2033,66.40724264557154
GNL_CC_SING,2033,35.11117773995343
GNL_CC_II-III,2033,35.11117773995343
GNL_CC_VIII,2033,35.11117773995343
GNL_CA_SING,2033,35.11117773995343
GNL_CA_II-III,2033,35.11117773995343
GNL_CA_VIII,2033,35.11117773995343
Diesel_SING,2033,22.5
Diesel_IV,2033,22.5
Diesel_X-XIV,2033,22.5
Biomasa_VII,2033,121.42239557122954
Biomasa_VIII,2033,121.42239557122954
Biomasa_X-XIV,2033,121.42239557122954
Geotermica_SING,2033,161.39391187282183
Geotermica_VI,2033,161.39391187282183
Geotermica_VII,2033,161.39391187282183
Geotermica_VIII,2033,161.39391187282183
Solar_CSP_SING,2033,30.0
Solar_CSP_II-III,2033,30.0
Eolica_SING,2033,28.293061392652152
Eolica_II-III,2033,28.293061392652152
Eolica_IV,2033,28.293061392652152
Eolica_V,2033,28.293061392652152
Eolica_VI,2033,28.293061392652152
Eolica_VIII,2033,28.293061392652152
Eolica_X-XIV,2033,28.293061392652152
Hidro_Pasada_XIII,2033,57.32297892576718
Hidro_Pasada_VI,2033,57.32297892576718
Hidro_Pasada_VII,2033,57.32297892576718
Hidro_Pasada_VIII,2033,57.32297892576718
Hidro_Pasada_X-XIV,2033,57.32297892576718
Solar_FV_SING,2033,16.08130783521551
Solar_FV_II-III,2033,16.08130783521551
Solar_FV_IV,2033,16.08130783521551
Solar_FV_V,2033,16.08130783521551
Solar_FV_XIII,2033,16.08130783521551
Solar_FV_VI,2033,16.08130783521551
Carbon_SING,2034,66.53262859538329
Carbon_II-III,2034,66.53262859538329
GNL_CC_SING,2034,35.39834499960747
GNL_CC_II-III,2034,35.39834499960747
GNL_CC_VIII,2034,35.39834499960747
GNL_CA_SING,2034,35.39834499960747
GNL_CA_II-III,2034,35.39834499960747
GNL_CA_VIII,2034,35.39834499960747
Diesel_SING,2034,22.5
Diesel_IV,2034,22.5
Diesel_X-XIV,2034,22.5
Biomasa_VII,2034,120.84707253223539
Biomasa_VIII,2034,120.84707253223539
Biomasa_X-XIV,2034,120.84707253223539
Geotermica_SING,2034,160.23907265381922
Geotermica_VI,2034,160.23907265381922
Geotermica_VII,2034,160.23907265381922
Geotermica_VIII,2034,160.23907265381922
Solar_CSP_SING,2034,30.0
Solar_CSP_II-III,2034,30.0
Eolica_SING,2034,28.153016230016256
Eolica_II-III,2034,28.153016230016256
Eolica_IV,2034,28.153016230016256
Eolica_V,2034,28.153016230016256
Eolica_VI,2034,28.153016230016256
